Ground Truth ToA: 78.08644104003906, Coarse ToA: 78.80973052978516
Ground Truth ToA: 126.26158142089844, Coarse ToA: 123.50679779052734
Ground Truth ToA: 141.26565551757812, Coarse ToA: 140.10028076171875
Ground Truth ToA: 78.92243957519531, Coarse ToA: 79.01517486572266
Ground Truth ToA: 114.63587188720703, Coarse ToA: 112.82566833496094
Ground Truth ToA: 126.58284759521484, Coarse ToA: 128.30206298828125
Ground Truth ToA: 57.83655548095703, Coarse ToA: 57.844425201416016
Ground Truth ToA: 110.71173095703125, Coarse ToA: 109.82245635986328
Ground Truth ToA: 79.30670928955078, Coarse ToA: 80.61128234863281
Ground Truth ToA: 91.85679626464844, Coarse ToA: 95.46955108642578
Ground Truth ToA: 62.73871994018555, Coarse ToA: 61.99289321899414
Ground Truth ToA: 106.48802947998047, Coarse ToA: 104.30491638183594
Ground Truth ToA: 116.33466339111328, Coarse ToA: 118.3001708984375
Ground Truth ToA: 73.8313217163086, Coarse ToA: 72.73961639404297
Ground Truth ToA: 135.79690551757812, Coarse ToA: 132.43533325195312
Ground Truth ToA: 105.88612365722656, Coarse ToA: 108.55825805664062
Ground Truth ToA: 110.79029083251953, Coarse ToA: 107.93727111816406
Ground Truth ToA: 93.00761413574219, Coarse ToA: 96.4208755493164
Ground Truth ToA: 87.18389892578125, Coarse ToA: 88.82152557373047
Ground Truth ToA: 137.06813049316406, Coarse ToA: 136.76483154296875
Ground Truth ToA: 96.50411224365234, Coarse ToA: 96.59013366699219
Ground Truth ToA: 112.91134643554688, Coarse ToA: 114.47830200195312
Ground Truth ToA: 102.22589111328125, Coarse ToA: 101.95796203613281
Ground Truth ToA: 51.64750671386719, Coarse ToA: 51.05153274536133
Ground Truth ToA: 115.40831756591797, Coarse ToA: 114.81183624267578
Ground Truth ToA: 105.46549987792969, Coarse ToA: 106.03069305419922
Ground Truth ToA: 58.5539665222168, Coarse ToA: 59.02531433105469
Ground Truth ToA: 92.4430923461914, Coarse ToA: 90.37749481201172
Ground Truth ToA: 68.12186431884766, Coarse ToA: 74.98712158203125
Ground Truth ToA: 131.72213745117188, Coarse ToA: 128.84136962890625
Ground Truth ToA: 77.59629821777344, Coarse ToA: 75.3998031616211
Ground Truth ToA: 53.76093292236328, Coarse ToA: 55.06711959838867
Ground Truth ToA: 93.07120513916016, Coarse ToA: 93.53137969970703
Ground Truth ToA: 60.83060073852539, Coarse ToA: 61.69285583496094
Ground Truth ToA: 60.88274383544922, Coarse ToA: 58.878196716308594
Ground Truth ToA: 129.0588836669922, Coarse ToA: 129.89193725585938
Ground Truth ToA: 113.38365936279297, Coarse ToA: 113.0868911743164
Ground Truth ToA: 59.73927688598633, Coarse ToA: 58.53216552734375
Ground Truth ToA: 89.47895050048828, Coarse ToA: 90.46995544433594
Ground Truth ToA: 123.35371398925781, Coarse ToA: 126.74900817871094
Ground Truth ToA: 69.9023666381836, Coarse ToA: 68.80980682373047
Ground Truth ToA: 123.31840515136719, Coarse ToA: 122.4681625366211
Ground Truth ToA: 143.49868774414062, Coarse ToA: 143.1749267578125
Ground Truth ToA: 77.29898834228516, Coarse ToA: 77.85249328613281
Ground Truth ToA: 125.66789245605469, Coarse ToA: 127.31080627441406
Ground Truth ToA: 136.52053833007812, Coarse ToA: 138.28733825683594
Ground Truth ToA: 104.3570556640625, Coarse ToA: 104.10023498535156
Ground Truth ToA: 123.50788116455078, Coarse ToA: 121.91828918457031
Ground Truth ToA: 76.82097625732422, Coarse ToA: 76.9294662475586
Ground Truth ToA: 133.66217041015625, Coarse ToA: 132.82106018066406
Ground Truth ToA: 88.4872817993164, Coarse ToA: 87.71357727050781
Ground Truth ToA: 70.02745819091797, Coarse ToA: 70.18570709228516
Ground Truth ToA: 106.42279052734375, Coarse ToA: 107.35022735595703
Ground Truth ToA: 69.16866302490234, Coarse ToA: 67.16056060791016
Ground Truth ToA: 56.272430419921875, Coarse ToA: 56.442604064941406
Ground Truth ToA: 84.91880798339844, Coarse ToA: 83.97625732421875
Ground Truth ToA: 112.2306137084961, Coarse ToA: 109.91002655029297
Ground Truth ToA: 99.83210754394531, Coarse ToA: 101.96856689453125
Ground Truth ToA: 112.19110107421875, Coarse ToA: 115.4881591796875
Ground Truth ToA: 109.45790100097656, Coarse ToA: 109.3795394897461
Ground Truth ToA: 105.73068237304688, Coarse ToA: 105.49727630615234
Ground Truth ToA: 138.39669799804688, Coarse ToA: 140.6939697265625
Ground Truth ToA: 67.81884002685547, Coarse ToA: 65.40359497070312
Ground Truth ToA: 76.20000457763672, Coarse ToA: 81.17604064941406
Ground Truth ToA: 62.733028411865234, Coarse ToA: 63.305843353271484
Ground Truth ToA: 132.98028564453125, Coarse ToA: 132.7243194580078
Ground Truth ToA: 105.76021575927734, Coarse ToA: 109.84320068359375
Ground Truth ToA: 76.81167602539062, Coarse ToA: 79.5008773803711
Ground Truth ToA: 70.6213150024414, Coarse ToA: 70.57315826416016
Ground Truth ToA: 114.7047119140625, Coarse ToA: 112.93090057373047
Ground Truth ToA: 74.6051025390625, Coarse ToA: 72.9460678100586
Ground Truth ToA: 91.66171264648438, Coarse ToA: 95.33981323242188
Ground Truth ToA: 145.52076721191406, Coarse ToA: 148.55149841308594
Ground Truth ToA: 66.09202575683594, Coarse ToA: 68.2132339477539
Ground Truth ToA: 66.89299011230469, Coarse ToA: 66.629638671875
Ground Truth ToA: 110.84048461914062, Coarse ToA: 109.6181640625
Ground Truth ToA: 53.18531799316406, Coarse ToA: 53.44522476196289
Ground Truth ToA: 100.9188461303711, Coarse ToA: 101.2651138305664
Ground Truth ToA: 56.586551666259766, Coarse ToA: 58.263668060302734
Ground Truth ToA: 132.6814727783203, Coarse ToA: 131.84869384765625
Ground Truth ToA: 102.31465148925781, Coarse ToA: 102.38146209716797
Ground Truth ToA: 119.4736328125, Coarse ToA: 125.37783813476562
Ground Truth ToA: 77.44998931884766, Coarse ToA: 77.25828552246094
Ground Truth ToA: 125.29253387451172, Coarse ToA: 122.5625991821289
Ground Truth ToA: 119.9301528930664, Coarse ToA: 118.89735412597656
Ground Truth ToA: 107.9985580444336, Coarse ToA: 107.40349578857422
Ground Truth ToA: 67.07748413085938, Coarse ToA: 67.51915740966797
Ground Truth ToA: 96.78021240234375, Coarse ToA: 95.99113464355469
Ground Truth ToA: 53.778961181640625, Coarse ToA: 54.917659759521484
Ground Truth ToA: 129.96255493164062, Coarse ToA: 130.30316162109375
Ground Truth ToA: 132.11244201660156, Coarse ToA: 130.83544921875
Ground Truth ToA: 79.47260284423828, Coarse ToA: 78.56117248535156
Ground Truth ToA: 58.248966217041016, Coarse ToA: 56.386383056640625
Ground Truth ToA: 141.15029907226562, Coarse ToA: 140.55856323242188
Ground Truth ToA: 87.79451751708984, Coarse ToA: 86.62359619140625
Ground Truth ToA: 103.14849853515625, Coarse ToA: 106.2896728515625
Ground Truth ToA: 130.75643920898438, Coarse ToA: 131.75115966796875
Ground Truth ToA: 71.97721862792969, Coarse ToA: 75.02995300292969
Ground Truth ToA: 101.39575958251953, Coarse ToA: 101.80988311767578
Ground Truth ToA: 79.93260192871094, Coarse ToA: 78.63130187988281
Ground Truth ToA: 134.77040100097656, Coarse ToA: 135.42515563964844
Ground Truth ToA: 118.25389099121094, Coarse ToA: 117.63346099853516
Ground Truth ToA: 111.16603088378906, Coarse ToA: 114.31634521484375
Ground Truth ToA: 129.84861755371094, Coarse ToA: 130.7267303466797
Ground Truth ToA: 90.53744506835938, Coarse ToA: 91.4294662475586
Ground Truth ToA: 135.59115600585938, Coarse ToA: 137.43545532226562
Ground Truth ToA: 89.91938781738281, Coarse ToA: 89.78228759765625
Ground Truth ToA: 73.66058349609375, Coarse ToA: 71.06414794921875
Ground Truth ToA: 140.3948974609375, Coarse ToA: 139.03628540039062
