Ground Truth ToA: 50.655670166015625, Coarse ToA: 51.62999725341797
Ground Truth ToA: 62.5521240234375, Coarse ToA: 60.027400970458984
Ground Truth ToA: 94.10478973388672, Coarse ToA: 93.10967254638672
Ground Truth ToA: 138.03099060058594, Coarse ToA: 136.86605834960938
Ground Truth ToA: 50.75419616699219, Coarse ToA: 52.17369079589844
Ground Truth ToA: 57.35971450805664, Coarse ToA: 57.857765197753906
Ground Truth ToA: 98.53144073486328, Coarse ToA: 97.64370727539062
Ground Truth ToA: 51.51905059814453, Coarse ToA: 51.88505935668945
Ground Truth ToA: 64.99927520751953, Coarse ToA: 66.5186767578125
Ground Truth ToA: 73.90448760986328, Coarse ToA: 73.047119140625
Ground Truth ToA: 129.727783203125, Coarse ToA: 132.31146240234375
Ground Truth ToA: 142.49124145507812, Coarse ToA: 141.69175720214844
Ground Truth ToA: 147.63104248046875, Coarse ToA: 145.95095825195312
Ground Truth ToA: 53.87948226928711, Coarse ToA: 54.74681091308594
Ground Truth ToA: 58.96982955932617, Coarse ToA: 56.59320831298828
Ground Truth ToA: 110.95429229736328, Coarse ToA: 110.25640106201172
Ground Truth ToA: 109.2804946899414, Coarse ToA: 107.7203140258789
Ground Truth ToA: 64.80738830566406, Coarse ToA: 69.09280395507812
Ground Truth ToA: 76.99857330322266, Coarse ToA: 74.75421905517578
Ground Truth ToA: 72.64653015136719, Coarse ToA: 71.08665466308594
Ground Truth ToA: 104.69483184814453, Coarse ToA: 104.9792251586914
Ground Truth ToA: 94.60237121582031, Coarse ToA: 92.51875305175781
Ground Truth ToA: 120.90859985351562, Coarse ToA: 122.8738021850586
Ground Truth ToA: 101.64057159423828, Coarse ToA: 101.32585144042969
Ground Truth ToA: 136.1383819580078, Coarse ToA: 135.50466918945312
Ground Truth ToA: 132.80616760253906, Coarse ToA: 132.10189819335938
Ground Truth ToA: 73.27081298828125, Coarse ToA: 72.16203308105469
Ground Truth ToA: 122.63642120361328, Coarse ToA: 120.1744613647461
Ground Truth ToA: 84.71727752685547, Coarse ToA: 83.37602233886719
Ground Truth ToA: 78.3248291015625, Coarse ToA: 75.70906066894531
Ground Truth ToA: 84.66490173339844, Coarse ToA: 88.57246398925781
Ground Truth ToA: 51.30323028564453, Coarse ToA: 52.112060546875
Ground Truth ToA: 99.46119689941406, Coarse ToA: 100.87035369873047
Ground Truth ToA: 144.70260620117188, Coarse ToA: 145.12515258789062
Ground Truth ToA: 91.26514434814453, Coarse ToA: 91.5215072631836
Ground Truth ToA: 72.73916625976562, Coarse ToA: 72.49263000488281
Ground Truth ToA: 134.82078552246094, Coarse ToA: 133.18731689453125
Ground Truth ToA: 66.60981750488281, Coarse ToA: 69.0011978149414
Ground Truth ToA: 110.50414276123047, Coarse ToA: 110.07344055175781
Ground Truth ToA: 68.70474243164062, Coarse ToA: 69.25753784179688
Ground Truth ToA: 110.6324691772461, Coarse ToA: 109.53154754638672
Ground Truth ToA: 55.2800407409668, Coarse ToA: 55.59200668334961
Ground Truth ToA: 73.28790283203125, Coarse ToA: 72.21287536621094
Ground Truth ToA: 118.1656265258789, Coarse ToA: 118.29837799072266
